Date,CA,CAName,NewPositive,TotalCases,CrudeRatePositive,NewDeaths,TotalDeaths,CrudeRateDeaths,TotalNegative,CrudeRateNegative
20201201,S12000005,Clackmannanshire,18,758,1470.70236709352,0,35,67.9084206441599,11563,22435.0019402406
20201201,S12000006,Dumfries & Galloway,4,1147,770.522638720946,0,68,45.6805051726454,28175,18927.1799005777
20201201,S12000008,East Ayrshire,11,2452,2009.67133841488,3,97,79.5016801901483,23038,18882.0588476354
20201201,S12000010,East Lothian,4,1042,973.013353254272,0,66,61.6304043328042,18420,17200.4855728826
20201201,S12000011,East Renfrewshire,19,2197,2299.80110959908,0,88,92.1176593740186,20832,21806.7622736313
20201201,S12000013,Na h-Eileanan Siar,3,81,303.14371257485,0,1,3.74251497005988,3610,13510.4790419162
20201201,S12000014,Falkirk,27,2064,1282.86406861831,0,105,65.2619802349431,31252,19424.4514885947
20201201,S12000017,Highland,2,813,344.739854980282,0,33,13.9931306449561,35601,15096.0437603358
20201201,S12000018,Inverclyde,4,1037,1332.90488431877,0,68,87.4035989717224,17420,22390.7455012853
20201201,S12000019,Midlothian,5,1333,1441.70452087389,0,101,109.236426562838,17908,19368.3755137357
20201201,S12000020,Moray,2,277,289.083698601545,0,14,14.6107284491755,13976,14585.6814861198
20201201,S12000021,North Ayrshire,14,2331,1729.99851565979,2,110,81.638711592697,25891,19215.5261986047
20201201,S12000023,Orkney Islands,1,38,170.633138751684,0,2,8.98069151324652,2603,11688.3700044903
20201201,S12000026,Scottish Borders,11,994,860.531555709462,0,45,38.9576660029435,20199,17486.7976798546
20201201,S12000027,Shetland Islands,0,75,327.225130890052,0,6,26.1780104712042,4300,18760.907504363
20201201,S12000028,South Ayrshire,18,1882,1671.25477311074,1,110,97.6822662285765,20960,18612.9118195542
20201201,S12000029,South Lanarkshire,62,9689,3022.8059775996,3,324,101.082581973606,72229,22534.2401647272
20201201,S12000030,Stirling,14,1354,1437.2147330432,1,49,52.0114637511941,21142,22441.3544209744
20201201,S12000033,Aberdeen City,19,2616,1144.00664713342,1,103,45.0430751738313,44925,19646.2150697512
20201201,S12000034,Aberdeenshire,21,1646,630.144328318211,0,66,25.2670265303779,43842,16784.1966234065
20201201,S12000035,Argyll & Bute,5,629,732.502620239898,1,45,52.4047979503901,14863,17308.7224874811
20201201,S12000036,City of Edinburgh,45,7544,1437.1440001524,1,307,58.4839883413026,93452,17802.7546530013
20201201,S12000038,Renfrewshire,43,4686,2616.41541038526,5,158,88.2188721384701,41711,23289.2238972641
20201201,S12000039,West Dunbartonshire,13,2073,2331.046890813,2,97,109.074553019229,21368,24027.8871022152
20201201,S12000040,West Lothian,26,3486,1903.87766247952,3,152,83.0147460404151,34770,18989.6231567449
20201201,S12000041,Angus,7,1188,1022.3752151463,0,57,49.0533562822719,20730,17839.9311531842
20201201,S12000042,Dundee City,15,3139,2102.19662469863,0,141,94.4280739351728,32569,21811.5456737209
20201201,S12000045,East Dunbartonshire,19,2590,2384.0206185567,1,119,109.536082474227,23586,21710.235640648
20201201,S12000047,Fife,60,4300,1151.11765493241,0,158,42.2968812742605,66966,17926.9174140008
20201201,S12000048,Perth & Kinross,15,1550,1020.07239223429,0,65,42.7772293517604,28239,18584.4027640671
20201201,S12000049,Glasgow City,134,20201,3190.70634318928,8,653,103.140005054334,144629,22843.8526661612
20201201,S12000050,North Lanarkshire,102,9831,2879.86642059935,2,309,90.51762017752,77126,22593.0808213961
